QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,Percentage Change C_LAST,Percentage Change UNDERLYING_LAST,Percentage Gain C_LAST,Percentage Gain UNDERLYING_LAST,Days to Max C_LAST,Days to Max UNDERLYING_LAST
2018-05-24,188.15,2019-01-18,1547845200,239.04,0.27742,0.01075,0.51069,-0.0212,0.30723,0.20357,283.0,4.97, 263 x 2,4.86,4.96,210.0,21.8,0.116,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-25,188.58,2019-01-18,1547845200,238.04,0.27962,0.01084,0.51312,-0.0216,0.30826,0.20272,895.0,4.95, 8 x 65,4.85,5.0,210.0,21.4,0.114,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-29,187.86,2019-01-18,1547845200,234.04,0.27783,0.0106,0.50495,-0.02218,0.29927,0.20953,373.0,5.0, 154 x 257,4.89,5.06,210.0,22.1,0.118,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-30,187.5,2019-01-18,1547845200,233.04,0.27332,0.01057,0.49912,-0.02176,0.29333,0.20918,83.0,4.84, 20 x 167,4.8,4.9,210.0,22.5,0.12,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-01,190.24,2019-01-18,1547845200,231.04,0.29436,0.01108,0.52238,-0.02258,0.31746,0.20414,547.0,5.3, 114 x 26,5.24,5.34,210.0,19.8,0.104,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-05,193.31,2019-01-18,1547845200,227.04,0.3312,0.01155,0.55378,-0.02463,0.35484,0.20604,445.0,6.31, 141 x 30,6.25,6.36,210.0,16.7,0.086,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-06,193.98,2019-01-18,1547845200,226.04,0.33858,0.01169,0.55946,-0.02485,0.36202,0.20595,284.0,6.53, 354 x 3,6.45,6.55,210.0,16.0,0.083,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-07,193.46,2019-01-18,1547845200,225.04,0.33313,0.01153,0.55349,-0.02501,0.35384,0.20684,402.0,6.5, 374 x 98,6.31,6.44,210.0,16.5,0.086,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-08,191.7,2019-01-18,1547845200,224.04,0.30986,0.01132,0.53111,-0.02337,0.3252,0.20729,299.0,5.7, 483 x 30,5.65,5.79,210.0,18.3,0.095,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-11,191.23,2019-01-18,1547845200,221.04,0.30496,0.01135,0.52201,-0.02432,0.31604,0.20653,393.0,5.57, 197 x 180,5.44,5.61,210.0,18.8,0.098,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-12,192.28,2019-01-18,1547845200,220.04,0.31618,0.01151,0.53192,-0.02481,0.32671,0.20684,79.0,5.75, 503 x 180,5.75,5.84,210.0,17.7,0.092,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-13,190.7,2019-01-18,1547845200,219.04,0.29916,0.01125,0.51408,-0.02356,0.30727,0.2075,70.0,5.41, 58 x 24,5.3,5.45,210.0,19.3,0.101,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-14,190.8,2019-01-18,1547845200,218.04,0.30011,0.01133,0.51341,-0.02396,0.3067,0.20869,149.0,5.35, 10 x 330,5.35,5.45,210.0,19.2,0.101,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-15,188.96,2019-01-18,1547845200,217.04,0.28318,0.01098,0.49482,-0.02363,0.28615,0.20986,323.0,4.9, 135 x 37,4.9,5.06,210.0,21.0,0.111,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-18,188.74,2019-01-18,1547845200,214.04,0.27824,0.01094,0.48659,-0.02388,0.27775,0.21049,921.0,4.9, 142 x 37,4.79,4.9,210.0,21.3,0.113,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-06-20,186.5,2019-01-18,1547845200,212.04,0.25821,0.0105,0.46025,-0.02287,0.25193,0.21502,454.0,4.4, 20 x 371,4.36,4.44,210.0,23.5,0.126,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
